order_id,order_date,ship_date,customer_id,product_id,quantity,discount,sales,cost,profit
ORD-000023,2025-02-25,2025-02-27,CUST-00498,PROD-00192,6,0.0,442.68,244.32,198.36
ORD-000024,2025-05-02,2025-05-07,CUST-00561,PROD-00136,4,0.1,815.44,609.52,205.92
ORD-000025,2024-07-30,2024-08-01,CUST-00599,PROD-00160,7,0.0,211.05,155.54,55.51
ORD-000026,2024-06-25,2024-06-26,CUST-00283,PROD-00104,1,0.15,183.21,181.76,1.45
ORD-000027,2024-12-26,2024-12-27,CUST-00308,PROD-00143,7,0.05,288.28,216.65,71.63
ORD-000028,2025-07-15,2025-07-16,CUST-00369,PROD-00031,5,0.1,743.4,598.35,145.05
ORD-000029,2025-01-19,2025-01-22,CUST-00233,PROD-00098,2,0.1,1033.79,631.46,402.33
ORD-000030,2024-01-26,2024-01-29,CUST-00529,PROD-00078,6,0.0,719.88,594.96,124.92
ORD-000031,2025-10-28,2025-10-29,CUST-00112,PROD-00157,4,0.1,1824.62,1175.88,648.74
ORD-000032,2024-02-19,2024-02-21,CUST-00018,PROD-00095,3,0.05,945.91,558.36,387.55
ORD-000033,2025-12-10,2025-12-13,CUST-00360,PROD-00076,6,0.1,1333.8,794.82,538.98
ORD-000034,2024-01-20,2024-01-24,CUST-00212,PROD-00179,1,0.0,236.06,137.44,98.62
ORD-000035,2025-05-29,2025-06-03,CUST-00030,PROD-00009,5,0.1,625.32,409.15,216.17
ORD-000036,2024-03-04,2024-03-07,CUST-00426,PROD-00049,4,0.0,1976.96,1586.28,390.68
ORD-000037,2025-11-19,2025-11-22,CUST-00091,PROD-00200,4,0.0,1066.76,752.12,314.64
ORD-000038,2024-12-14,2024-12-16,CUST-00103,PROD-00111,6,0.0,659.94,531.78,128.16
ORD-000039,2024-04-15,2024-04-18,CUST-00594,PROD-00132,7,0.0,1792.0,1031.17,760.83
ORD-000040,2024-10-06,2024-10-11,CUST-00038,PROD-00161,6,0.3,827.65,687.6,140.05
ORD-000041,2024-05-06,2024-05-08,CUST-00241,PROD-00026,2,0.1,764.17,492.6,271.57
ORD-000042,2024-05-10,2024-05-14,CUST-00298,PROD-00037,2,0.0,529.06,447.38,81.68
ORD-000043,2025-12-07,2025-12-11,CUST-00049,PROD-00142,6,0.2,1367.23,1464.24,-97.01
ORD-000044,2024-12-05,2024-12-06,CUST-00082,PROD-00044,2,0.05,1013.59,593.7,419.89
ORD-000045,2025-08-28,2025-09-02,CUST-00394,PROD-00018,6,0.1,2557.22,1618.2,939.02
ORD-000046,2025-04-17,2025-04-21,CUST-00001,PROD-00216,5,0.0,2408.8,1933.85,474.95
ORD-000047,2025-05-15,2025-05-17,CUST-00287,PROD-00066,3,0.1,598.81,471.96,126.85
ORD-000048,2024-04-11,2024-04-13,CUST-00095,PROD-00150,7,0.0,3468.57,2663.64,804.93
ORD-000049,2024-07-10,2024-07-11,CUST-00131,PROD-00087,4,0.05,787.25,512.2,275.05
ORD-000050,2025-08-26,2025-08-29,CUST-00295,PROD-00120,2,0.15,289.53,218.62,70.91
ORD-000051,2025-12-17,2025-12-23,CUST-00143,PROD-00037,2,0.0,529.06,447.38,81.68
ORD-000052,2024-08-07,2024-08-13,CUST-00329,PROD-00135,1,0.05,482.6,338.05,144.55
ORD-000053,2024-08-14,2024-08-15,CUST-00230,PROD-00024,6,0.0,1373.88,1175.04,198.84
ORD-000054,2024-12-18,2024-12-21,CUST-00109,PROD-00024,3,0.2,549.55,587.52,-37.97
ORD-000055,2025-12-24,2025-12-29,CUST-00378,PROD-00012,5,0.0,2750.45,1743.05,1007.4
ORD-000056,2024-08-12,2024-08-18,CUST-00522,PROD-00033,6,0.05,956.06,689.22,266.84
ORD-000057,2024-11-17,2024-11-21,CUST-00452,PROD-00068,5,0.05,2115.7,1751.75,363.95
ORD-000058,2025-11-09,2025-11-10,CUST-00596,PROD-00041,7,0.0,1225.07,705.95,519.12
ORD-000059,2024-01-03,2024-01-05,CUST-00217,PROD-00065,6,0.2,146.59,133.02,13.57
ORD-000060,2024-01-31,2024-02-03,CUST-00432,PROD-00148,6,0.15,2002.21,1547.52,454.69
ORD-000061,2025-03-21,2025-03-22,CUST-00342,PROD-00133,2,0.3,504.52,612.62,-108.1
ORD-000062,2025-11-17,2025-11-20,CUST-00152,PROD-00131,5,0.05,2501.54,1495.0,1006.54
ORD-000063,2024-07-15,2024-07-16,CUST-00079,PROD-00178,5,0.0,1425.35,1014.6,410.75
ORD-000064,2024-12-17,2024-12-21,CUST-00244,PROD-00142,4,0.05,1082.39,976.16,106.23
ORD-000065,2024-12-07,2024-12-08,CUST-00270,PROD-00172,2,0.1,254.05,194.28,59.77
ORD-000066,2024-12-18,2024-12-22,CUST-00167,PROD-00028,1,0.05,17.03,10.96,6.07
ORD-000067,2025-04-04,2025-04-09,CUST-00250,PROD-00095,1,0.1,298.71,186.12,112.59
ORD-000068,2024-12-17,2024-12-19,CUST-00522,PROD-00080,6,0.15,1066.16,701.28,364.88
ORD-000069,2024-12-06,2024-12-10,CUST-00116,PROD-00195,4,0.3,1802.7,1568.28,234.42
ORD-000070,2024-12-19,2024-12-25,CUST-00372,PROD-00109,1,0.1,17.68,16.21,1.47
ORD-000071,2025-03-11,2025-03-17,CUST-00013,PROD-00209,7,0.05,3032.07,2433.34,598.73
ORD-000072,2025-01-28,2025-01-30,CUST-00117,PROD-00075,7,0.2,3137.34,2588.04,549.3
ORD-000073,2025-10-17,2025-10-21,CUST-00308,PROD-00219,2,0.1,384.46,236.72,147.74
ORD-000074,2024-02-07,2024-02-09,CUST-00506,PROD-00053,5,0.0,1269.55,1057.35,212.2
ORD-000075,2025-10-01,2025-10-05,CUST-00533,PROD-00112,3,0.05,1148.66,781.23,367.43
ORD-000076,2025-10-09,2025-10-15,CUST-00542,PROD-00125,3,0.05,1046.8,618.87,427.93
ORD-000077,2024-08-24,2024-08-27,CUST-00278,PROD-00064,5,0.0,1886.1,1232.65,653.45
ORD-000078,2024-12-13,2024-12-19,CUST-00372,PROD-00124,7,0.0,2360.4,1936.48,423.92
ORD-000079,2024-12-02,2024-12-04,CUST-00032,PROD-00186,6,0.2,2422.66,1912.8,509.86
ORD-000080,2024-06-23,2024-06-29,CUST-00279,PROD-00171,7,0.1,448.69,299.81,148.88
ORD-000081,2024-11-12,2024-11-16,CUST-00110,PROD-00124,3,0.05,961.02,829.92,131.1
ORD-000082,2024-02-04,2024-02-08,CUST-00285,PROD-00119,5,0.15,2790.25,1985.15,805.1
ORD-000083,2024-08-19,2024-08-20,CUST-00471,PROD-00045,7,0.0,755.3,545.65,209.65
ORD-000084,2025-09-18,2025-09-19,CUST-00378,PROD-00190,3,0.15,726.49,727.38,-0.89
ORD-000085,2024-08-24,2024-08-27,CUST-00532,PROD-00070,5,0.0,472.7,268.1,204.6
ORD-000086,2025-09-20,2025-09-24,CUST-00490,PROD-00004,4,0.05,116.47,97.2,19.27
ORD-000087,2025-01-24,2025-01-28,CUST-00024,PROD-00216,7,0.15,2866.47,2707.39,159.08
ORD-000088,2025-11-04,2025-11-05,CUST-00327,PROD-00202,2,0.05,772.52,663.56,108.96
ORD-000089,2025-02-26,2025-03-04,CUST-00434,PROD-00153,5,0.2,2026.12,1883.75,142.37
ORD-000090,2024-01-23,2024-01-24,CUST-00282,PROD-00113,7,0.0,1169.49,940.17,229.32
ORD-000091,2025-05-15,2025-05-20,CUST-00557,PROD-00014,7,0.05,2836.29,1886.15,950.14
ORD-000092,2024-02-04,2024-02-09,CUST-00178,PROD-00127,5,0.05,390.78,337.1,53.68
ORD-000093,2024-12-07,2024-12-13,CUST-00105,PROD-00147,5,0.15,3139.6,1996.75,1142.85
ORD-000094,2025-11-28,2025-12-01,CUST-00518,PROD-00004,3,0.0,91.95,72.9,19.05
ORD-000095,2024-05-06,2024-05-12,CUST-00492,PROD-00183,7,0.2,1869.67,1534.19,335.48
ORD-000096,2024-11-08,2024-11-12,CUST-00058,PROD-00199,1,0.0,578.21,305.76,272.45
ORD-000097,2025-07-06,2025-07-12,CUST-00413,PROD-00178,6,0.1,1539.38,1217.52,321.86
ORD-000098,2025-11-05,2025-11-10,CUST-00156,PROD-00186,6,0.0,3028.32,1912.8,1115.52
ORD-000099,2025-05-11,2025-05-16,CUST-00163,PROD-00127,4,0.0,329.08,269.68,59.4
ORD-000100,2024-08-04,2024-08-10,CUST-00292,PROD-00091,5,0.3,1049.61,860.4,189.21
ORD-000101,2025-05-14,2025-05-18,CUST-00271,PROD-00113,5,0.2,668.28,671.55,-3.27
ORD-000102,2024-09-03,2024-09-09,CUST-00587,PROD-00146,2,0.0,367.68,307.2,60.48
ORD-000103,2025-06-24,2025-06-26,CUST-00016,PROD-00111,1,0.2,87.99,88.63,-0.64
ORD-000104,2025-12-09,2025-12-14,CUST-00283,PROD-00013,4,0.15,1999.85,1279.36,720.49
ORD-000105,2025-06-27,2025-07-02,CUST-00243,PROD-00086,7,0.0,2370.41,1793.47,576.94
ORD-000106,2025-10-24,2025-10-25,CUST-00390,PROD-00220,2,0.0,132.48,110.28,22.2
ORD-000107,2024-01-02,2024-01-08,CUST-00086,PROD-00216,7,0.0,3372.32,2707.39,664.93
ORD-000108,2025-06-23,2025-06-27,CUST-00415,PROD-00087,1,0.0,207.17,128.05,79.12
ORD-000109,2025-09-28,2025-09-30,CUST-00095,PROD-00186,7,0.1,3179.74,2231.6,948.14
ORD-000110,2024-02-01,2024-02-03,CUST-00466,PROD-00032,1,0.0,286.94,235.73,51.21
ORD-000111,2025-10-31,2025-11-06,CUST-00136,PROD-00208,7,0.0,3198.58,2352.84,845.74
ORD-000112,2024-08-03,2024-08-04,CUST-00001,PROD-00190,5,0.15,1210.82,1212.3,-1.48
ORD-000113,2025-05-07,2025-05-13,CUST-00476,PROD-00045,2,0.05,205.01,155.9,49.11
ORD-000114,2025-09-06,2025-09-08,CUST-00184,PROD-00191,3,0.2,1095.46,988.77,106.69
ORD-000115,2025-05-05,2025-05-09,CUST-00103,PROD-00103,2,0.05,506.71,422.44,84.27
ORD-000116,2024-03-11,2024-03-17,CUST-00114,PROD-00123,1,0.05,421.74,375.46,46.28
ORD-000117,2025-03-15,2025-03-20,CUST-00173,PROD-00079,2,0.15,417.67,355.08,62.59
ORD-000118,2025-02-07,2025-02-10,CUST-00562,PROD-00029,7,0.0,2658.39,1852.48,805.91
ORD-000119,2025-11-14,2025-11-19,CUST-00373,PROD-00143,4,0.15,147.39,123.8,23.59
ORD-000120,2024-11-15,2024-11-17,CUST-00314,PROD-00169,6,0.15,1819.42,1139.16,680.26
ORD-000121,2024-09-21,2024-09-24,CUST-00563,PROD-00164,4,0.3,636.83,526.2,110.63
ORD-000122,2025-07-28,2025-07-31,CUST-00509,PROD-00014,1,0.2,341.21,269.45,71.76
ORD-000123,2024-11-19,2024-11-21,CUST-00257,PROD-00185,1,0.05,477.83,386.07,91.76
ORD-000124,2025-04-22,2025-04-23,CUST-00014,PROD-00187,1,0.1,269.75,163.22,106.53
ORD-000125,2025-04-22,2025-04-26,CUST-00418,PROD-00218,7,0.05,4344.38,2697.94,1646.44
ORD-000126,2025-11-08,2025-11-09,CUST-00533,PROD-00025,6,0.0,615.54,398.4,217.14
ORD-000127,2025-03-17,2025-03-18,CUST-00393,PROD-00103,6,0.1,1440.13,1267.32,172.81
ORD-000128,2025-01-02,2025-01-04,CUST-00549,PROD-00016,5,0.15,2895.31,1986.95,908.36
ORD-000129,2024-04-16,2024-04-19,CUST-00532,PROD-00137,7,0.0,715.26,434.21,281.05
ORD-000130,2024-03-29,2024-04-03,CUST-00148,PROD-00215,3,0.3,430.84,520.92,-90.08
ORD-000131,2024-04-28,2024-05-04,CUST-00113,PROD-00199,6,0.1,3122.33,1834.56,1287.77
ORD-000132,2024-05-11,2024-05-12,CUST-00508,PROD-00132,2,0.0,512.0,294.62,217.38
ORD-000133,2025-04-16,2025-04-20,CUST-00098,PROD-00034,4,0.0,404.12,225.2,178.92
ORD-000134,2025-07-18,2025-07-19,CUST-00162,PROD-00112,3,0.0,1209.12,781.23,427.89
ORD-000135,2025-01-23,2025-01-28,CUST-00377,PROD-00055,2,0.1,544.0,433.84,110.16
ORD-000136,2025-09-28,2025-09-30,CUST-00506,PROD-00189,4,0.05,2391.72,1376.04,1015.68
ORD-000137,2025-12-27,2026-01-01,CUST-00180,PROD-00018,5,0.05,2249.41,1348.5,900.91
ORD-000138,2025-09-21,2025-09-24,CUST-00287,PROD-00219,2,0.0,427.18,236.72,190.46
ORD-000139,2025-05-30,2025-06-04,CUST-00162,PROD-00212,7,0.0,4131.96,2522.45,1609.51
ORD-000140,2025-01-25,2025-01-29,CUST-00021,PROD-00019,4,0.0,953.72,529.36,424.36
ORD-000141,2024-12-07,2024-12-10,CUST-00413,PROD-00025,5,0.0,512.95,332.0,180.95
ORD-000142,2024-03-05,2024-03-07,CUST-00257,PROD-00168,1,0.0,109.81,64.83,44.98
ORD-000143,2024-11-13,2024-11-18,CUST-00304,PROD-00160,1,0.05,28.64,22.22,6.42
ORD-000144,2025-11-18,2025-11-19,CUST-00388,PROD-00193,1,0.05,239.52,133.31,106.21
ORD-000145,2025-09-12,2025-09-13,CUST-00310,PROD-00127,7,0.2,460.71,471.94,-11.23
ORD-000146,2024-06-20,2024-06-23,CUST-00365,PROD-00023,6,0.15,2377.77,1833.96,543.81
ORD-000147,2024-12-15,2024-12-18,CUST-00051,PROD-00072,7,0.05,3044.7,2302.58,742.12
ORD-000148,2025-09-18,2025-09-22,CUST-00145,PROD-00018,4,0.2,1515.39,1078.8,436.59
ORD-000149,2024-02-21,2024-02-23,CUST-00363,PROD-00069,7,0.3,3478.71,2778.51,700.2
ORD-000150,2024-11-07,2024-11-12,CUST-00304,PROD-00211,7,0.0,4219.25,2446.57,1772.68
ORD-000151,2025-10-15,2025-10-21,CUST-00176,PROD-00117,2,0.05,387.77,320.7,67.07
ORD-000152,2024-11-15,2024-11-19,CUST-00525,PROD-00137,1,0.1,91.96,62.03,29.93
ORD-000153,2024-02-29,2024-03-04,CUST-00229,PROD-00152,4,0.2,1273.82,951.6,322.22
ORD-000154,2025-02-02,2025-02-07,CUST-00176,PROD-00064,6,0.1,2036.99,1479.18,557.81
ORD-000155,2025-10-23,2025-10-26,CUST-00356,PROD-00014,3,0.0,1279.53,808.35,471.18
ORD-000156,2025-03-10,2025-03-14,CUST-00523,PROD-00106,2,0.0,67.2,43.88,23.32
ORD-000157,2024-07-01,2024-07-07,CUST-00145,PROD-00209,4,0.05,1732.61,1390.48,342.13
ORD-000158,2024-11-06,2024-11-11,CUST-00216,PROD-00093,4,0.1,694.76,410.2,284.56
ORD-000159,2024-12-07,2024-12-13,CUST-00285,PROD-00163,4,0.3,166.82,130.24,36.58
ORD-000160,2025-03-02,2025-03-04,CUST-00255,PROD-00172,4,0.0,564.56,388.56,176.0
ORD-000161,2025-08-05,2025-08-09,CUST-00424,PROD-00213,7,0.15,1670.76,1593.83,76.93
ORD-000162,2024-03-16,2024-03-21,CUST-00112,PROD-00052,6,0.1,1154.25,911.1,243.15
ORD-000163,2025-11-09,2025-11-15,CUST-00165,PROD-00047,2,0.0,989.86,790.42,199.44
ORD-000164,2024-01-10,2024-01-12,CUST-00534,PROD-00167,7,0.05,1241.95,769.86,472.09
ORD-000165,2024-10-29,2024-11-03,CUST-00402,PROD-00074,7,0.1,3722.36,2615.41,1106.95
ORD-000166,2024-01-22,2024-01-24,CUST-00046,PROD-00018,5,0.0,2367.8,1348.5,1019.3
ORD-000167,2024-11-10,2024-11-11,CUST-00416,PROD-00145,6,0.05,523.66,394.8,128.86
ORD-000168,2025-01-20,2025-01-23,CUST-00575,PROD-00040,3,0.2,656.04,448.26,207.78
ORD-000169,2025-01-09,2025-01-14,CUST-00134,PROD-00121,7,0.2,3751.78,2740.71,1011.07
ORD-000170,2024-05-07,2024-05-13,CUST-00378,PROD-00180,7,0.15,2016.28,1865.99,150.29
ORD-000171,2025-04-22,2025-04-23,CUST-00070,PROD-00062,1,0.2,586.13,397.05,189.08
ORD-000172,2024-02-04,2024-02-07,CUST-00450,PROD-00126,5,0.1,2345.26,1526.05,819.21
ORD-000173,2025-08-07,2025-08-12,CUST-00260,PROD-00216,7,0.1,3035.09,2707.39,327.7
ORD-000174,2025-12-06,2025-12-07,CUST-00542,PROD-00090,4,0.05,1136.77,638.92,497.85
ORD-000175,2024-10-06,2024-10-09,CUST-00570,PROD-00172,1,0.0,141.14,97.14,44.0
ORD-000176,2025-01-13,2025-01-17,CUST-00399,PROD-00128,1,0.0,389.09,306.36,82.73
ORD-000177,2024-11-03,2024-11-07,CUST-00186,PROD-00169,4,0.0,1427.0,759.44,667.56
ORD-000178,2024-01-06,2024-01-10,CUST-00558,PROD-00009,7,0.3,680.9,572.81,108.09
ORD-000179,2024-11-06,2024-11-09,CUST-00502,PROD-00106,2,0.1,60.48,43.88,16.6
ORD-000180,2025-08-30,2025-09-03,CUST-00153,PROD-00055,1,0.0,302.22,216.92,85.3
ORD-000181,2025-03-15,2025-03-17,CUST-00131,PROD-00196,4,0.1,1265.36,909.68,355.68
ORD-000182,2024-03-18,2024-03-23,CUST-00459,PROD-00024,3,0.3,480.86,587.52,-106.66
ORD-000183,2025-10-12,2025-10-16,CUST-00295,PROD-00147,3,0.3,1551.33,1198.05,353.28
ORD-000184,2025-01-24,2025-01-29,CUST-00376,PROD-00158,6,0.2,413.81,356.94,56.87
ORD-000185,2025-10-08,2025-10-10,CUST-00075,PROD-00124,5,0.2,1348.8,1383.2,-34.4
ORD-000186,2025-03-03,2025-03-07,CUST-00108,PROD-00187,3,0.0,899.16,489.66,409.5
ORD-000187,2025-02-15,2025-02-16,CUST-00254,PROD-00189,6,0.0,3776.4,2064.06,1712.34
ORD-000188,2024-03-21,2024-03-27,CUST-00388,PROD-00141,2,0.05,693.58,455.56,238.02
ORD-000189,2024-05-08,2024-05-11,CUST-00440,PROD-00175,7,0.0,2831.5,1891.82,939.68
ORD-000190,2025-12-18,2025-12-21,CUST-00217,PROD-00209,7,0.05,3032.07,2433.34,598.73
ORD-000191,2024-07-04,2024-07-06,CUST-00325,PROD-00100,2,0.05,364.82,215.66,149.16
ORD-000192,2025-12-21,2025-12-24,CUST-00366,PROD-00026,6,0.0,2547.24,1477.8,1069.44
ORD-000193,2025-01-24,2025-01-28,CUST-00481,PROD-00125,5,0.15,1561.02,1031.45,529.57
ORD-000194,2024-04-14,2024-04-18,CUST-00103,PROD-00105,3,0.0,1043.19,866.4,176.79
ORD-000195,2024-03-17,2024-03-23,CUST-00470,PROD-00210,5,0.0,144.75,105.05,39.7
ORD-000196,2024-06-12,2024-06-17,CUST-00565,PROD-00162,3,0.15,365.52,339.33,26.19
ORD-000197,2025-11-26,2025-11-29,CUST-00308,PROD-00157,7,0.2,2838.3,2057.79,780.51
ORD-000198,2024-11-20,2024-11-24,CUST-00325,PROD-00165,3,0.0,81.81,49.65,32.16
ORD-000199,2024-11-11,2024-11-15,CUST-00187,PROD-00192,5,0.05,350.46,203.6,146.86
ORD-000200,2024-09-15,2024-09-16,CUST-00240,PROD-00216,1,0.05,457.67,386.77,70.9
ORD-000201,2024-04-22,2024-04-25,CUST-00450,PROD-00095,7,0.05,2207.13,1302.84,904.29
ORD-000202,2024-12-25,2024-12-26,CUST-00395,PROD-00145,4,0.05,349.11,263.2,85.91
ORD-000203,2024-04-09,2024-04-14,CUST-00084,PROD-00157,5,0.0,2534.2,1469.85,1064.35
ORD-000204,2025-10-03,2025-10-08,CUST-00072,PROD-00020,3,0.0,665.61,410.19,255.42
ORD-000205,2024-10-29,2024-11-03,CUST-00573,PROD-00156,7,0.0,352.38,192.78,159.6
ORD-000206,2024-11-01,2024-11-04,CUST-00007,PROD-00188,4,0.0,1150.92,733.84,417.08
ORD-000207,2024-12-19,2024-12-25,CUST-00125,PROD-00015,2,0.0,948.38,799.54,148.84
ORD-000208,2024-12-04,2024-12-08,CUST-00320,PROD-00178,6,0.0,1710.42,1217.52,492.9
ORD-000209,2025-12-29,2025-12-30,CUST-00399,PROD-00090,3,0.0,897.45,479.19,418.26
ORD-000210,2025-02-04,2025-02-07,CUST-00362,PROD-00069,7,0.3,3478.71,2778.51,700.2
ORD-000211,2024-03-08,2024-03-10,CUST-00513,PROD-00150,6,0.2,2378.45,2283.12,95.33
ORD-000212,2025-03-23,2025-03-26,CUST-00048,PROD-00137,1,0.1,91.96,62.03,29.93
ORD-000213,2024-04-26,2024-04-28,CUST-00173,PROD-00130,6,0.0,1736.64,992.34,744.3
ORD-000214,2024-01-24,2024-01-27,CUST-00016,PROD-00127,5,0.3,287.94,337.1,-49.16
ORD-000215,2025-12-17,2025-12-20,CUST-00134,PROD-00003,6,0.1,516.02,471.36,44.66
ORD-000216,2025-08-16,2025-08-22,CUST-00342,PROD-00195,2,0.05,1223.26,784.14,439.12
ORD-000217,2025-12-22,2025-12-25,CUST-00527,PROD-00037,3,0.0,793.59,671.07,122.52
ORD-000218,2024-12-21,2024-12-23,CUST-00012,PROD-00067,6,0.1,998.89,766.62,232.27
ORD-000219,2025-01-25,2025-01-28,CUST-00290,PROD-00032,5,0.05,1362.96,1178.65,184.31
ORD-000220,2024-05-09,2024-05-13,CUST-00206,PROD-00131,6,0.0,3159.84,1794.0,1365.84
ORD-000221,2024-07-24,2024-07-26,CUST-00337,PROD-00003,1,0.0,95.56,78.56,17.0
ORD-000222,2025-10-05,2025-10-11,CUST-00138,PROD-00180,1,0.05,321.93,266.57,55.36
ORD-000223,2024-10-18,2024-10-24,CUST-00444,PROD-00097,4,0.0,1114.6,778.4,336.2
ORD-000224,2025-09-26,2025-09-29,CUST-00538,PROD-00214,5,0.0,982.3,787.95,194.35
ORD-000225,2025-06-13,2025-06-16,CUST-00585,PROD-00115,3,0.0,246.27,208.2,38.07
ORD-000226,2024-05-15,2024-05-21,CUST-00515,PROD-00210,6,0.1,156.33,126.06,30.27
ORD-000227,2025-01-06,2025-01-10,CUST-00435,PROD-00009,3,0.2,333.5,245.49,88.01
ORD-000228,2025-05-16,2025-05-21,CUST-00600,PROD-00062,2,0.05,1392.05,794.1,597.95
ORD-000229,2024-07-11,2024-07-12,CUST-00040,PROD-00182,2,0.1,493.45,449.18,44.27
ORD-000230,2025-09-29,2025-10-02,CUST-00119,PROD-00126,2,0.0,1042.34,610.42,431.92
ORD-000231,2025-02-03,2025-02-08,CUST-00509,PROD-00092,3,0.0,398.85,247.08,151.77
ORD-000232,2024-05-06,2024-05-12,CUST-00458,PROD-00053,6,0.1,1371.11,1268.82,102.29
ORD-000233,2025-03-05,2025-03-08,CUST-00234,PROD-00119,3,0.1,1772.63,1191.09,581.54
ORD-000234,2025-12-31,2026-01-04,CUST-00197,PROD-00025,3,0.2,246.22,199.2,47.02
ORD-000235,2024-04-25,2024-04-27,CUST-00474,PROD-00096,5,0.0,520.3,289.3,231.0
ORD-000236,2025-09-18,2025-09-22,CUST-00257,PROD-00142,2,0.0,569.68,488.08,81.6
ORD-000237,2024-06-11,2024-06-16,CUST-00418,PROD-00036,6,0.0,3240.12,2206.56,1033.56
ORD-000238,2025-08-23,2025-08-29,CUST-00257,PROD-00212,6,0.1,3187.51,2162.1,1025.41
ORD-000239,2025-07-11,2025-07-13,CUST-00263,PROD-00150,1,0.0,495.51,380.52,114.99
ORD-000240,2024-09-05,2024-09-11,CUST-00120,PROD-00072,3,0.05,1304.87,986.82,318.05
ORD-000241,2024-09-25,2024-10-01,CUST-00123,PROD-00118,3,0.05,205.8,166.89,38.91
ORD-000242,2025-08-31,2025-09-03,CUST-00225,PROD-00147,7,0.0,5171.11,2795.45,2375.66
ORD-000243,2024-12-13,2024-12-19,CUST-00363,PROD-00083,5,0.0,2451.55,1518.35,933.2
ORD-000244,2025-07-07,2025-07-08,CUST-00022,PROD-00068,1,0.0,445.41,350.35,95.06
ORD-000245,2024-04-23,2024-04-28,CUST-00038,PROD-00123,6,0.0,2663.64,2252.76,410.88
ORD-000246,2025-10-16,2025-10-20,CUST-00067,PROD-00137,5,0.1,459.81,310.15,149.66
ORD-000247,2025-06-15,2025-06-18,CUST-00594,PROD-00058,5,0.0,2456.55,1916.95,539.6
ORD-000248,2025-11-17,2025-11-18,CUST-00069,PROD-00089,2,0.3,317.48,293.72,23.76
ORD-000249,2024-04-11,2024-04-17,CUST-00160,PROD-00070,1,0.05,89.81,53.62,36.19
ORD-000250,2025-03-12,2025-03-14,CUST-00283,PROD-00008,1,0.0,216.04,128.71,87.33
ORD-000251,2025-03-17,2025-03-23,CUST-00047,PROD-00210,6,0.0,173.7,126.06,47.64
ORD-000252,2024-10-16,2024-10-20,CUST-00370,PROD-00033,7,0.05,1115.4,804.09,311.31
ORD-000253,2024-12-11,2024-12-17,CUST-00061,PROD-00164,5,0.05,1080.34,657.75,422.59
ORD-000254,2024-01-30,2024-02-05,CUST-00133,PROD-00217,6,0.05,3166.98,1990.86,1176.12
ORD-000255,2025-07-24,2025-07-25,CUST-00568,PROD-00063,6,0.1,1786.54,1627.5,159.04
ORD-000256,2025-02-07,2025-02-09,CUST-00474,PROD-00059,5,0.05,517.94,374.15,143.79
ORD-000257,2024-02-14,2024-02-18,CUST-00567,PROD-00055,1,0.0,302.22,216.92,85.3
ORD-000258,2025-05-19,2025-05-24,CUST-00085,PROD-00214,3,0.1,530.44,472.77,57.67
